Topic Number,Topic Title,Primary Keyword,Secondary Keywords,Search Intent,Page Type,URL Slug,Priority Tier,Difficulty,Conversion Value
1,Carfax Alternative,carfax alternative,"alternative to carfax; carfax alternatives; cheaper vehicle history report; carfax substitute",Commercial investigation,Comparison page,/carfax-alternative,Tier 1,Medium,High
2,Cheaper Than Carfax,cheaper than carfax,"carfax cheaper option; cheaper carfax report; vehicle history report cheaper than carfax",Commercial/transactional,Landing page,/cheaper-than-carfax,Tier 1,Medium,High
3,Cheap Carfax,cheap carfax,"carfax cheap; cheap carfax report; discount vehicle history report",Commercial (brand-adjacent),Blog post,/cheap-carfax-report,Tier 3,Medium,Medium-High
4,AutoCheck Alternative,autocheck alternative,"alternative to autocheck; autocheck vs carfax alternative; cheaper than autocheck",Commercial investigation,Comparison page,/autocheck-alternative,Tier 2,Medium,High
5,Carfax Competitor,carfax competitor,"carfax competitors; companies like carfax; carfax rivals; vehicle history report companies",Commercial investigation,Comparison/listicle,/carfax-competitors,Tier 2,Medium-High,Medium-High
6,Vehicle History Report (pillar),vehicle history report,"vehicle history report online; get a vehicle history report; vin history report",Informational to commercial,Pillar landing + guide,/vehicle-history-report,Tier 2,High,High
7,Cheap Vehicle History Report,cheap vehicle history report,"cheap car history report; inexpensive vehicle history report; budget vin report",Commercial/transactional,Landing page,/cheap-vehicle-history-report,Tier 1,Low-Medium,High
8,Affordable Vehicle History Report,affordable vehicle history report,"affordable car history report; affordable vin check; no subscription vehicle history report",Commercial/transactional,Landing page,/affordable-vehicle-history-report,Tier 1,Low-Medium,High
9,Low Cost Car History Report,low cost car history report,"low cost vehicle history report; low cost vin report; discount car history report",Commercial,Landing page,/low-cost-car-history-report,Tier 2,Low-Medium,Medium-High
10,Car History Report,car history report,"car history check; used car history report; car background check by vin",Informational to commercial,Landing + guide,/car-history-report,Tier 2,Medium,High
11,VIN Check,vin check,"free vin check; vin lookup; vin number check; check vin",Informational with commercial pull,Buyer guide/tool landing,/vin-check,Tier 1,Medium-High,Medium-High
12,VIN Report,vin report,"vin number report; vin history report; report by vin",Commercial/transactional,Landing page,/vin-report,Tier 1,Medium,High
13,Instant VIN Report,instant vin report,"instant vehicle history report; instant car history report; vin report instant",Transactional (urgency),Landing page,/instant-vin-report,Tier 2,Low-Medium,High
14,Used Car Report,used car report,"used car history report; used car check; used car background check; checking a used car",Informational to commercial,Buyer guide,/used-car-history-report,Tier 2,Medium,Medium-High
15,Accident History Report,accident history report,"car accident history; vehicle accident check; has this car been in an accident; accident check by vin",Informational to commercial,Landing + guide,/accident-history-report,Tier 3,Medium,Medium
16,Title Check,title check,"car title check; vin title check; title history; branded title check",Informational to commercial,Guide + landing,/title-check,Tier 3,Medium,Medium
17,Salvage Title Check,salvage title check,"salvage vin check; salvage title lookup; rebuilt title check; check for salvage title",Informational to commercial,Guide + landing,/salvage-title-check,Tier 3,Low-Medium,Medium-High
18,Odometer Check,odometer check,"mileage check; odometer rollback check; vin mileage history; true mileage check",Informational to commercial,Guide + landing,/odometer-check,Tier 3,Low-Medium,Medium
19,Buy Vehicle History Report,buy vehicle history report,"buy vin report; purchase vehicle history report; buy car history report online",Transactional (bottom funnel),Landing/conversion,/buy-vehicle-history-report,Tier 1,Low-Medium,High
20,How Much Does Carfax Cost,carfax,"is carfax worth it; carfax price; how much is a carfax report; carfax cost",Informational (brand research),Blog post,/how-much-does-carfax-cost,Tier 3,High,Medium
